459980800	459983871	010000
459983872	459984895	011100
459984896	460136447	010000
460136448	460144639	011100
460144640	460161023	010000
460161024	460193791	018200
460193792	460210175	010000
460210176	460214271	018100
460214272	460300287	010000
460300288	460312575	018100
460312576	460324863	010000
460324864	460341247	011200
460341248	460345343	010000
460345344	460349439	011100
460349440	460423167	010000
460423168	460439551	013100
460439552	460521471	010000
460521472	460554239	013100
460554240	460598271	010000
460598272	460599295	011100
460599296	460933119	010000
460933120	460935167	014400
460935168	460945407	010000
460945408	460947455	014400
460947456	460983295	010000
460983296	460984319	018100
460984320	461054975	010000
461054976	461062143	018100
461062144	461094911	010000
461094912	461099007	018100
461099008	461287423	010000
461287424	461307903	018100
461307904	461373439	010000
461373440	461428223	011300
461428224	461428479	011304
461428480	461431039	011300
461431040	461431295	011302
461431296	461504511	011300
461504512	461626367	010000
461626368	461627391	011100
461627392	462422015	010000
462422016	462487551	015000
462487552	462618623	010000
462618624	462635007	017100
462635008	462684159	010000
462684160	463208447	013500
463208448	463273983	013501
463273984	463454463	013500
463454464	463454719	013503
463454720	463470591	013500
463470592	465043455	010000
465043456	465108991	011301
465108992	465174527	011300
465174528	465305599	011306
465305600	465339647	011300
465339648	465339903	011301
465339904	465340770	011300
465340771	465340771	011303
465340772	465371135	011300
465371136	465436671	011310
465436672	465567743	011302
465567744	467664895	013700
467664896	467730431	016201
467730432	467927039	016200
467927040	468713471	010000
468713472	469237759	017100
469237760	603979775	010000
603979776	603980799	013500
603980800	603981823	010000
603981824	603983871	013100
603983872	603996159	014400
603996160	604012543	011100
604012544	604045311	010000
604045312	604110847	011100
604110848	604241919	010000
604241920	604504063	013400
604504064	605028351	010000
605028352	606076927	013300
606076928	606339071	013400
606339072	606404607	014403
606404608	606412799	014400
606412800	606413823	018100
606413824	606414335	013500
606414336	606414591	010000
606414592	606414847	013500
606414848	606420991	014400
606420992	606601215	010000
606601216	607125503	016100
607125504	607256575	012200
607256576	607322111	010000
607322112	607387647	011100
607387648	607649791	010000
607649792	608174079	013400
608174080	610271231	010000
610271232	612368383	013300
612368384	618659839	010000
618659840	619708415	017100
619708416	620232703	010000
620232704	620494847	013500
620494848	620625919	010000
620625920	620691455	011100
620691456	654311423	010000
654311424	654311679	013500
654311680	654311935	010000
654311936	654313471	013500
654313472	654376959	014400
654376960	654442495	017100
654442496	654835711	010000
654835712	655359999	017100
655360000	658505727	010000
658505728	660602879	013700
660602880	661651455	011100
661651456	662700031	010000
662700032	666894335	010000
666894336	704643071	010000
704643072	704644095	013500
704644096	704645119	010000
704645120	704649215	014400
704649216	704650239	013500
704650240	704651263	010000
704651264	704659455	014400
704659456	704675839	017100
704675840	704708607	013301
704708608	704722943	014400
704722944	704723967	013500
704723968	704741375	010000
704741376	704774143	014101
704774144	704905215	018100
704905216	705167359	012100
705167360	707788799	010000
707788800	707866623	014300
707866624	707866879	014313
707866880	707919871	014300
707919872	707985407	015000
707985408	708050943	014101
708050944	708575231	012100
708575232	708706303	010000
708706304	708739071	010000
708739072	708751359	014400
708751360	708752383	010000
708752384	708753407	013500
708753408	708755455	014400
708755456	708771839	010000
708771840	708837375	016400
708837376	709885951	017100
709885952	710017023	011200
710017024	710098943	010000
710098944	710103039	014400
710103040	710104063	013500
710104064	710105087	010000
710105088	710115327	014400
710115328	710148095	011100
710148096	710410239	012100
710410240	710934527	016200
710934528	710950911	010000
710950912	710961151	014400
710961152	710962175	010000
710962176	710963199	013500
710963200	710967295	014400
710967296	711000063	015425
711000064	711065599	012200
711065600	711131135	018100
711131136	711159807	014400
711159808	711160831	013500
711160832	711161855	010000
711161856	711163903	014400
711163904	711196671	010000
711196672	711458815	012300
711458816	712507391	010000
712507392	712638463	015425
712638464	712703999	011200
712704000	712712191	014400
712712192	712713215	010000
712713216	712714239	013500
712714240	712736767	014400
712736768	712769535	015000
712769536	713031679	010000
713031680	714080255	011100
714080256	714866687	010000
714866688	714874879	014400
714874880	714875903	010000
714875904	714876927	013500
714876928	714899455	014400
714899456	714932223	015425
714932224	716177407	010000
716177408	716701695	012100
716701696	716832767	012300
716832768	716898303	014401
716898304	716929023	014400
716929024	716930047	013500
716930048	716931071	010000
716931072	716963839	011100
716963840	717225983	010000
717225984	717357055	013100
717357056	717359103	014400
717359104	717360127	013500
717360128	717361151	011100
717361152	717389823	014400
717389824	717422591	013100
717422592	717750271	010000
717750272	717815807	018100
717815808	717848575	011100
717848576	717881343	010000
717881344	718012415	012100
718012416	718274559	010000
718274560	719323135	011100
719323136	719388671	014100
719388672	719454207	014104
719454208	720371711	014100
720371712	720437247	010000
720437248	720502783	010000
720502784	720633855	015300
720633856	720650239	013205
720650240	720895999	013201
720896000	721420287	012100
721420288	822345727	010000
822345728	822607871	011100
822607872	825425919	010000
825425920	825491455	010000
825491456	825753599	013100
825753600	826277887	010000
826277888	826802175	013200
826802176	826867711	013205
826867712	827064319	013200
827064320	827129855	013202
827129856	827654143	013200
827654144	827719679	013212
827719680	827785215	013200
827785216	827850751	013208
827850752	827916287	013200
827916288	827981823	013213
827981824	828375039	013200
828375040	829423615	010000
829423616	829947903	016500
829947904	830078975	014201
830078976	830085119	014101
830085120	830091263	014116
830091264	830095359	014105
830095360	830144511	014201
830144512	830156799	014303
830156800	830160895	014201
830160896	830177279	014301
830177280	830210047	014201
830210048	830472191	010000
830472192	830472447	013500
830472448	830472703	010000
830472704	830473215	013500
830473216	830488575	010000
830488576	830496767	017100
830496768	830500863	010000
830500864	830504959	017100
830504960	830603263	010000
830603264	830734335	018100
830734336	831258623	010000
831258624	831336447	012201
831336448	831340543	010000
831340544	831363071	012201
831363072	831373311	010000
831373312	831379455	012102
831379456	831514623	010000
831514624	831515647	018100
831515648	832045055	010000
832045056	832307199	010000
832307200	832438271	010000
832438272	832569343	017100
832569344	835715071	010000
835715072	835780607	016101
835780608	835784703	016544
835784704	835796991	016501
835796992	835813375	016301
835813376	835846143	016101
835846144	835977215	010000
835977216	836042751	010000
836042752	836046847	018100
836046848	836075519	010000
836075520	836501503	017100
836501504	836763647	010000
836763648	837287935	010000
837287936	837550079	011100
837550080	837746687	010000
837746688	837763071	013100
837763072	837795839	010000
837795840	837812223	014404
837812224	838262783	010000
838262784	838270975	018100
838270976	973996031	010000
973996032	974127103	013701
974127104	974155775	015201
974155776	974157055	015227
974157056	974157311	015201
974157312	974159871	015227
974159872	974160895	015201
974160896	974161151	015204
974161152	974165247	015201
974165248	974165503	015226
974165504	974170111	015201
974170112	974171903	015223
974171904	974173439	015201
974173440	974175743	015224
974175744	974178815	015201
974178816	974180351	015222
974180352	974183167	015202
974183168	974192639	015201
974192640	974198527	013601
974198528	974198547	013600
974198548	974200319	013601
974200320	974200831	013604
974200832	974201599	013601
974201600	974201855	013611
974201856	974202111	013604
974202112	974205951	013601
974205952	974206463	013604
974206464	974207487	013601
974207488	974208255	013603
974208256	974209535	013601
974209536	974209791	013605
974209792	974211583	013601
974211584	974211839	013609
974211840	974212907	013601
974212908	974212908	013608
974212909	974212909	013607
974212910	974213119	013601
974213120	974213375	013600
974213376	974213887	013608
974213888	974214143	013600
974214144	974214655	013604
974214656	974215167	013600
974215168	974215935	013606
974215936	974216191	013600
974216192	974216703	013608
974216704	974216959	013607
974216960	974217215	013608
974217216	974219263	013610
974219264	974220031	013611
974220032	974221311	013601
974221312	974223359	013607
974223360	974225407	013604
974225408	974227457	015000
974227458	974227458	015000
974227459	974227489	015000
974227490	974227490	015000
974227491	974227533	015000
974227534	974227534	015000
974227535	974227717	015000
974227718	974227718	015000
974227719	974227733	015000
974227734	974227734	015000
974227735	974227967	015000
974227968	974228223	015000
974228224	974229759	015000
974229760	974230015	015000
974230016	974230271	015000
974230272	974230527	015000
974230528	974230561	015000
974230562	974230562	015000
974230563	974231101	015000
974231102	974231102	015000
974231103	974231333	015000
974231334	974231334	015000
974231335	974232831	015000
974232832	974233087	015000
974233088	974234081	015000
974234082	974234082	015000
974234083	974234165	015000
974234166	974234166	015000
974234167	974238207	015000
974238208	974238463	015000
974238464	974239169	015000
974239170	974239170	015000
974239171	974239661	015000
974239662	974239662	015000
974239663	974239725	015000
974239726	974239726	015000
974239727	974239865	015000
974239866	974239866	015000
974239867	974240149	015000
974240150	974240150	015101
974240151	974240793	015000
974240794	974240794	015000
974240795	974245831	015000
974245832	974245832	015000
974245833	974246161	015000
974246162	974246162	015000
974246163	974246185	015000
974246186	974246186	015000
974246187	974246281	015000
974246282	974246282	015000
974246283	974246663	015000
974246664	974246664	015000
974246665	974246911	015000
974246912	974247167	015000
974247168	974247935	015000
974247936	974248191	015000
974248192	974248221	015000
974248222	974248312	015000
974248313	974248436	015000
974248437	974248437	015000
974248438	974248447	015000
974248448	974248703	015000
974248704	974251519	015000
974251520	974251775	015000
974251776	974252543	015000
974252544	974252799	015000
974252800	974253055	015000
974253056	974253823	015000
974253824	974254079	015000
974254080	974254335	015000
974254336	974254847	015000
974254848	974254895	015000
974254896	974254896	015000
974254897	974254958	015000
974254959	974254959	015000
974254960	974255089	015000
974255090	974255090	015000
974255091	974255100	015000
974255101	974255101	015000
974255102	974255871	015000
974255872	974256127	015000
974256128	974256639	015000
974256640	974256895	015000
974256896	974257151	015000
974257152	974257407	015000
974257408	974258175	015000
974258176	974262271	011522
974262272	974266367	011502
974266368	974270463	011506
974270464	974274559	011508
974274560	974278655	011503
974278656	974282751	011529
974282752	974286847	011509
974286848	974288383	011525
974288384	974288639	011501
974288640	974290943	011525
974290944	974291199	011501
974291200	974295039	011504
974295040	974299135	011505
974299136	974302975	011501
974302976	974303487	011502
974303488	974303743	011507
974303744	974303881	011500
974303882	974303882	011507
974303883	974303999	011500
974304000	974304662	011507
974304663	974304663	011500
974304664	974307327	011507
974307328	974308863	011500
974308864	974313983	011505
974313984	974314563	011507
974314564	974314567	011500
974314568	974320639	011507
