016530	克孜勒苏柯尔克孜自治州
016531	喀什
016532	和田
016540	伊犁
016542	塔城
016543	阿勒泰
016544	石河子
016545	阿拉尔
016546	图木舒克
016547	五家渠
017100	台湾
017101	台北
017102	台中
017103	台南
017104	高雄
017105	基隆
017106	新竹
017107	嘉义
017108	宜兰
017109	桃园
017110	彰化
017111	苗栗
017112	云林
017113	屏东
017114	彭湖
017115	花莲
018100	香港
018200	澳门
020000	海外
